fecha;cs_chats
16/11/2022;12885
17/11/2022;11499
18/11/2022;13162
19/11/2022;14478
20/11/2022;31881
21/11/2022;27924
22/11/2022;11389
23/11/2022;9965
24/11/2022;12358
25/11/2022;13903
26/11/2022;19070
27/11/2022;23373
28/11/2022;15425
29/11/2022;12780
30/11/2022;41064
1/12/2022;21105
2/12/2022;16640
3/12/2022;18751
4/12/2022;24517
5/12/2022;23197
6/12/2022;25678
7/12/2022;55239
8/12/2022;30984
9/12/2022;56227
10/12/2022;28732
11/12/2022;31620
12/12/2022;28774
13/12/2022;40259
14/12/2022;28364
15/12/2022;19234
16/12/2022;23599
17/12/2022;22180
18/12/2022;32153
19/12/2022;32146
20/12/2022;27069
21/12/2022;29047
22/12/2022;25116
23/12/2022;26859
24/12/2022;10795
25/12/2022;13914
26/12/2022;19807
27/12/2022;16719
28/12/2022;17134
29/12/2022;17762
30/12/2022;20229
31/12/2022;11972
1/1/2023;20738
2/1/2023;27772
3/1/2023;15411
4/1/2023;14034
5/1/2023;11732
6/1/2023;14553
7/1/2023;15212
8/1/2023;18944
9/1/2023;17133
10/1/2023;10687
11/1/2023;12211
12/1/2023;13268
13/1/2023;14546
14/1/2023;15424
15/1/2023;20036
16/1/2023;15652
17/1/2023;14341
18/1/2023;12801
19/1/2023;13779
20/1/2023;27668
21/1/2023;18066
22/1/2023;20680
23/1/2023;14542
24/1/2023;13412
25/1/2023;14015
26/1/2023;15449
27/1/2023;20045
28/1/2023;18577
29/1/2023;23649
30/1/2023;17287
31/1/2023;18911
1/2/2023;17118
2/2/2023;19848
3/2/2023;20147
4/2/2023;17772
5/2/2023;23115
6/2/2023;17667
7/2/2023;16815
8/2/2023;16114
9/2/2023;16561
10/2/2023;21562
11/2/2023;26116
12/2/2023;43749
13/2/2023;24779
14/2/2023;61205
15/2/2023;38060
16/2/2023;22661
17/2/2023;23628
18/2/2023;16534
19/2/2023;18821
20/2/2023;20592
21/2/2023;21958
22/2/2023;15865
23/2/2023;14591
24/2/2023;16733
25/2/2023;18796
26/2/2023;19830
27/2/2023;16609
28/2/2023;17548
1/3/2023;21862
2/3/2023;19968
3/3/2023;21039
4/3/2023;21452
5/3/2023;25863
6/3/2023;18070
7/3/2023;16650
8/3/2023;24003
9/3/2023;17436
10/3/2023;24120
11/3/2023;31506
12/3/2023;40570
13/3/2023;18085
14/3/2023;19026
15/3/2023;19541
16/3/2023;17307
17/3/2023;20915
18/3/2023;21755
19/3/2023;28319
20/3/2023;13983
21/3/2023;13953
22/3/2023;13331
23/3/2023;20440
24/3/2023;21258
25/3/2023;20824
26/3/2023;20480
27/3/2023;12626
28/3/2023;13036
29/3/2023;14629
30/3/2023;14384
31/3/2023;21890
1/4/2023;21459
2/4/2023;25799
3/4/2023;15685
4/4/2023;16162
5/4/2023;22039
6/4/2023;21903
7/4/2023;19889
8/4/2023;15811
9/4/2023;18151
10/4/2023;13668
11/4/2023;12481
12/4/2023;15117
13/4/2023;13756
14/4/2023;18977
15/4/2023;20244
16/4/2023;41190
17/4/2023;16756
18/4/2023;14437
19/4/2023;14900
20/4/2023;13776
21/4/2023;18656
22/4/2023;21287
23/4/2023;25705
24/4/2023;14317
25/4/2023;15650
