Fecha;Chats
16/09/2022;6323
17/09/2022;6570
18/09/2022;7542
19/09/2022;5629
20/09/2022;6023
21/09/2022;6127
22/09/2022;5448
23/09/2022;6130
24/09/2022;6703
25/09/2022;7389
26/09/2022;5689
27/09/2022;5504
28/09/2022;5553
29/09/2022;5314
30/09/2022;6946
01/10/2022;7617
02/10/2022;7969
03/10/2022;5654
04/10/2022;4922
05/10/2022;5623
06/10/2022;6605
07/10/2022;6424
08/10/2022;8477
09/10/2022;7913
10/10/2022;7959
11/10/2022;5449
12/10/2022;5340
13/10/2022;5312
14/10/2022;6479
15/10/2022;11268
16/10/2022;8155
17/10/2022;5575
18/10/2022;4854
19/10/2022;5153
20/10/2022;5377
21/10/2022;6373
22/10/2022;8559
23/10/2022;7867
24/10/2022;5664
25/10/2022;4473
26/10/2022;6100
27/10/2022;5509
28/10/2022;7149
29/10/2022;7810
30/10/2022;11851
31/10/2022;6742
01/11/2022;6703
02/11/2022;5969
03/11/2022;5452
04/11/2022;6699
05/11/2022;7173
06/11/2022;8209
07/11/2022;5873
08/11/2022;5173
09/11/2022;5167
10/11/2022;8133
11/11/2022;8796
12/11/2022;7756
13/11/2022;9171
14/11/2022;6137
15/11/2022;4990
16/11/2022;5633
17/11/2022;5489
18/11/2022;5539
19/11/2022;6205
20/11/2022;8351
21/11/2022;7337
22/11/2022;5047
23/11/2022;4207
24/11/2022;4402
25/11/2022;6248
26/11/2022;8442
27/11/2022;9113
28/11/2022;6656
29/11/2022;5901
30/11/2022;10014
01/12/2022;7776
02/12/2022;6671
03/12/2022;7729
04/12/2022;5555
05/12/2022;6720
06/12/2022;7651
07/12/2022;10809
08/12/2022;9717
09/12/2022;9498
10/12/2022;8037
11/12/2022;10592
12/12/2022;7855
13/12/2022;8529
14/12/2022;7744
15/12/2022;7335
16/12/2022;7857
17/12/2022;7956
18/12/2022;6196
19/12/2022;9531
20/12/2022;8630
21/12/2022;7855
22/12/2022;8660
23/12/2022;8037
24/12/2022;4289
25/12/2022;4624
26/12/2022;6543
27/12/2022;6303
28/12/2022;5776
29/12/2022;6047
30/12/2022;6280
31/12/2022;4438
01/01/2023;5070
02/01/2023;6955
03/01/2023;5071
04/01/2023;4598
05/01/2023;4819
06/01/2023;5128
07/01/2023;5640
08/01/2023;6403
09/01/2023;5959
10/01/2023;4971
11/01/2023;4919
12/01/2023;4969
13/01/2023;5253
14/01/2023;5545
15/01/2023;6543
16/01/2023;5695
17/01/2023;5245
18/01/2023;4803
19/01/2023;5253
20/01/2023;8013
21/01/2023;6277
22/01/2023;7142
23/01/2023;6471
24/01/2023;5272
25/01/2023;5020
26/01/2023;5332
27/01/2023;6460
28/01/2023;6081
29/01/2023;7340
30/01/2023;5814
31/01/2023;5802
01/02/2023;5425
02/02/2023;7043
03/02/2023;6205
04/02/2023;5951
05/02/2023;7165
06/02/2023;4857
07/02/2023;4239
08/02/2023;5869
09/02/2023;4335
10/02/2023;4880
11/02/2023;5602
12/02/2023;7318
13/02/2023;5218
14/02/2023;7172
15/02/2023;7231
16/02/2023;7898
17/02/2023;6649
18/02/2023;5195
19/02/2023;5593
20/02/2023;5740
21/02/2023;5666
22/02/2023;4686
23/02/2023;4182
24/02/2023;3971
25/02/2023;4569
26/02/2023;4704
27/02/2023;4311
28/02/2023;3909
01/03/2023;5045
02/03/2023;4545
03/03/2023;4883
04/03/2023;5073
05/03/2023;5203
06/03/2023;4149
07/03/2023;3914
08/03/2023;4684
09/03/2023;4264
10/03/2023;4907
11/03/2023;5836
12/03/2023;6592
13/03/2023;4428
14/03/2023;4203
15/03/2023;4450
16/03/2023;4162
17/03/2023;4819
18/03/2023;5532
19/03/2023;6211
20/03/2023;3728
21/03/2023;3730
22/03/2023;3775
23/03/2023;4843
24/03/2023;5525
25/03/2023;5063
26/03/2023;5010
27/03/2023;3460
28/03/2023;2950
29/03/2023;3357
30/03/2023;3158
31/03/2023;4299
01/04/2023;4465
02/04/2023;5375
03/04/2023;3278
04/04/2023;3208
05/04/2023;3867
06/04/2023;3898
07/04/2023;3980
08/04/2023;3385
09/04/2023;3733
10/04/2023;2981
11/04/2023;2856
12/04/2023;3218
13/04/2023;3112
14/04/2023;3748
15/04/2023;4304
16/04/2023;5589
17/04/2023;3678
18/04/2023;3337
19/04/2023;3333
20/04/2023;2950
21/04/2023;3795
22/04/2023;4223
23/04/2023;4923
24/04/2023;3256
25/04/2023;3136
26/04/2023;2948
27/04/2023;2866
28/04/2023;4085
29/04/2023;4564
30/04/2023;5685
01/05/2023;5523
02/05/2023;3868
03/05/2023;3575
04/05/2023;3640
05/05/2023;5187
06/05/2023;6416
07/05/2023;5416
08/05/2023;3580
09/05/2023;3179
10/05/2023;3113
11/05/2023;3151
12/05/2023;3869
13/05/2023;4453
14/05/2023;4807
15/05/2023;3030
16/05/2023;2678
17/05/2023;3138
18/05/2023;3032
19/05/2023;4889
20/05/2023;4925
21/05/2023;5065
22/05/2023;3117
23/05/2023;3101
24/05/2023;3869
25/05/2023;4526
26/05/2023;4014
27/05/2023;4679
28/05/2023;4851
29/05/2023;3433
30/05/2023;2979
31/05/2023;3321
01/06/2023;3360
02/06/2023;4009
03/06/2023;4600
04/06/2023;4684
05/06/2023;3255
06/06/2023;3202
07/06/2023;3556
08/06/2023;3689
09/06/2023;4355
10/06/2023;5250
11/06/2023;5364
12/06/2023;3765
13/06/2023;3805
14/06/2023;3489
15/06/2023;3786
16/06/2023;4150
17/06/2023;4871
18/06/2023;5256
19/06/2023;4681
20/06/2023;4212
21/06/2023;3635
22/06/2023;3087
23/06/2023;3663
24/06/2023;4166
25/06/2023;3840
26/06/2023;2277
27/06/2023;2297
28/06/2023;2989
29/06/2023;3280
30/06/2023;6528
01/07/2023;4902
02/07/2023;4875
03/07/2023;3606
04/07/2023;3962
05/07/2023;3831
06/07/2023;3844
07/07/2023;4496
08/07/2023;4918
09/07/2023;5263
10/07/2023;3708
11/07/2023;4678
12/07/2023;4606
13/07/2023;4133
14/07/2023;4519
15/07/2023;5178
16/07/2023;5511
17/07/2023;4406
18/07/2023;3821
19/07/2023;3616
20/07/2023;4279
21/07/2023;3919
22/07/2023;4891
23/07/2023;4820
24/07/2023;3813
25/07/2023;4103
26/07/2023;3304
27/07/2023;3510
28/07/2023;4090
29/07/2023;4673
30/07/2023;4516
31/07/2023;3240
01/08/2023;3511
02/08/2023;3239
03/08/2023;3086
04/08/2023;3802
05/08/2023;4588
06/08/2023;5162
07/08/2023;3585
08/08/2023;2838
09/08/2023;2823
10/08/2023;3060
11/08/2023;3699
12/08/2023;4977
13/08/2023;4731
14/08/2023;3330
15/08/2023;3013
16/08/2023;3120
17/08/2023;3998
18/08/2023;4219
19/08/2023;5232
20/08/2023;5571
21/08/2023;3873
22/08/2023;3053
23/08/2023;3441
24/08/2023;3492
25/08/2023;3910
26/08/2023;4360
27/08/2023;4215
28/08/2023;2559
29/08/2023;2583
30/08/2023;3300
31/08/2023;3102
01/09/2023;4019
02/09/2023;6978
03/09/2023;7619
04/09/2023;3563
05/09/2023;3097
06/09/2023;3415
07/09/2023;3859
08/09/2023;3981
09/09/2023;4135
10/09/2023;4696
11/09/2023;3392
12/09/2023;2867
13/09/2023;2600
14/09/2023;2777
15/09/2023;3352
16/09/2023;3706
17/09/2023;3777
18/09/2023;2611
19/09/2023;2399
20/09/2023;2767
21/09/2023;3012
22/09/2023;3101
23/09/2023;3412
24/09/2023;3803
25/09/2023;2957
26/09/2023;3024
27/09/2023;2471
28/09/2023;2862
29/09/2023;3754
30/09/2023;4287
01/10/2023;4604
02/10/2023;2566
03/10/2023;2808
04/10/2023;2645
05/10/2023;3290
06/10/2023;3679
07/10/2023;4225
08/10/2023;4554
09/10/2023;3062
10/10/2023;2829
11/10/2023;3035
12/10/2023;3550
13/10/2023;3333
14/10/2023;3451
15/10/2023;4126
